file,field,shape,dtype
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-04-07_demand_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-04-07_curt_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-10-17_source_mw,4 x 48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-10-17_demand_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-10-17_curt_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-11-29_source_mw,4 x 48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-11-29_demand_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,stacked_2020-11-29_curt_mw,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M1_constant_0,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M1_constant_1,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M1_constant_2,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M2_EP2024_0,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M2_EP2024_1,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M2_EP2024_2,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M3_COPF2025_0,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M3_COPF2025_1,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M3_COPF2025_2,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M4_proposed_0,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M4_proposed_1,48,float64
data/reference/figures/revision_v12_plot_data.npz,dispatch_M4_proposed_2,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-04-07_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-04-07_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-04-07_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-04-07_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-04-07_M3_COPF2025,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-04-07_M3_COPF2025,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-04-07_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-04-07_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-10-17_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-10-17_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-10-17_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-10-17_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-10-17_M3_COPF2025,48,float64
